catcherid,CSAA,CSAA_lb,CSAA_ub
2292,-0.021661116721705398,-0.033816968554821136,-0.008492126946417489
9222,-0.021770977859356944,-0.03883244465620139,-0.002640594212834413
6378,-0.022057451014482532,-0.04616646078215941,0.006420488451880091
6111,-0.022199694904329825,-0.033335786915844656,-0.010214045963255147
4745,-0.022391402847272257,-0.04043508536962781,-0.001999709608797362
1713,-0.02318085753771132,-0.04060695654518187,-0.003553689931188986
13699,-0.023963249222786365,-0.035923309045109375,-0.010997196491775496
2199,-0.02478396096075247,-0.036280555259190994,-0.012351914598750957
354,-0.02564240877328855,-0.039362168512111384,-0.010554881463874288
204335,-0.025882452448138138,-0.047856004383503514,-0.0001612822674773584
1277,-0.026407124524194636,-0.045416623534876244,-0.004638902444077497
4522,-0.026664540931944536,-0.04885035484511707,-0.0006130106277785763
9541,-0.02834735065395616,-0.03736963929652648,-0.01873475008659581
5241,-0.028934979982699727,-0.03902332665466768,-0.018097503616409216
3414,-0.029537372131503814,-0.04165000853279888,-0.01632017783436801
1705,-0.029693469223458613,-0.03929718657236364,-0.019407081032259077
159648,-0.03327776242140407,-0.05314998159324241,-0.010083537433850875
3920,-0.034701830483955975,-0.05101722188626956,-0.01617177553371446
6049,-0.03479296262061671,-0.04433875864707909,-0.024529069463516073
13359,-0.037604157148981354,-0.04637721945904172,-0.02820623908729486
3053,-0.03768967757338909,-0.049500144962474124,-0.024716575194593915
8944,-0.03893624468364609,-0.05033015789381057,-0.0264460096180425
9039,-0.04190973321197189,-0.061580664920064865,-0.018565061606409472
159433,-0.048221470984832926,-0.05991251000820304,-0.03521134122798769
159675,-0.05056636942695947,-0.05842350620249162,-0.04211501652439792
10540,-0.05333547848082837,-0.06043169827922035,-0.04573796017568432
